"Elapsed time","Datetime","Magnetic field"
0.037359,"2021-07-12 19:17:45.519752",-25.111
0.578767,"2021-07-12 19:17:46.061160",-25.105
1.122757,"2021-07-12 19:17:46.605150",-25.103
1.66367,"2021-07-12 19:17:47.146063",-25.102
2.194376,"2021-07-12 19:17:47.676769",-25.105
2.735616,"2021-07-12 19:17:48.218009",-25.104
3.265641,"2021-07-12 19:17:48.748034",-25.1
3.806533,"2021-07-12 19:17:49.288926",-25.104
4.332644,"2021-07-12 19:17:49.815037",-25.102
4.86375,"2021-07-12 19:17:50.346143",-25.104
5.409139,"2021-07-12 19:17:50.891532",-25.108
5.953508,"2021-07-12 19:17:51.435901",-25.108
6.4931,"2021-07-12 19:17:51.975493",-25.105
7.02337,"2021-07-12 19:17:52.505763",-25.103
7.56461,"2021-07-12 19:17:53.047003",-25.103
8.092731,"2021-07-12 19:17:53.575124",-25.11
8.622456,"2021-07-12 19:17:54.104849",-27.525
9.166429,"2021-07-12 19:17:54.648822",-29.848
9.707707,"2021-07-12 19:17:55.190100",-32.721
10.234954,"2021-07-12 19:17:55.717347",-34.37
10.760771,"2021-07-12 19:17:56.243164",-37.197
11.289658,"2021-07-12 19:17:56.772051",-40.725
11.82163,"2021-07-12 19:17:57.304023",-42.25
12.364765,"2021-07-12 19:17:57.847158",-43.569
12.909355,"2021-07-12 19:17:58.391748",-43.623
13.44919,"2021-07-12 19:17:58.931583",-43.662
13.97581,"2021-07-12 19:17:59.458203",-43.699
14.507348,"2021-07-12 19:17:59.989741",-43.732
15.050853,"2021-07-12 19:18:00.533246",-43.758
15.591101,"2021-07-12 19:18:01.073494",-43.784
16.136522,"2021-07-12 19:18:01.618915",-43.805
16.664134,"2021-07-12 19:18:02.146527",-43.825
17.211037,"2021-07-12 19:18:02.693430",-43.843
17.750268,"2021-07-12 19:18:03.232661",-43.855
18.278888,"2021-07-12 19:18:03.761281",-43.869
18.805645,"2021-07-12 19:18:04.288038",-43.882
19.334838,"2021-07-12 19:18:04.817231",-43.894
19.880283,"2021-07-12 19:18:05.362676",-43.905
20.424539,"2021-07-12 19:18:05.906932",-43.911
20.965588,"2021-07-12 19:18:06.447981",-43.917
21.493016,"2021-07-12 19:18:06.975409",-43.923
22.024886,"2021-07-12 19:18:07.507279",-43.928
22.563923,"2021-07-12 19:18:08.046316",-43.933
23.092529,"2021-07-12 19:18:08.574922",-43.94
23.62306,"2021-07-12 19:18:09.105453",-43.943
24.166625,"2021-07-12 19:18:09.649018",-43.947
24.707183,"2021-07-12 19:18:10.189576",-43.953
25.239778,"2021-07-12 19:18:10.722171",-43.957
25.784016,"2021-07-12 19:18:11.266409",-43.962
26.327801,"2021-07-12 19:18:11.810194",-43.964
26.869612,"2021-07-12 19:18:12.352005",-43.967
27.410105,"2021-07-12 19:18:12.892498",-43.967
27.957543,"2021-07-12 19:18:13.439936",-43.965
28.501575,"2021-07-12 19:18:13.983968",-43.966
29.041575,"2021-07-12 19:18:14.523968",-43.968
29.586454,"2021-07-12 19:18:15.068847",-43.968
30.131469,"2021-07-12 19:18:15.613862",-43.983
30.675027,"2021-07-12 19:18:16.157420",-46.714
31.221514,"2021-07-12 19:18:16.703907",-48.071
31.762406,"2021-07-12 19:18:17.244799",-49.219
32.303394,"2021-07-12 19:18:17.785787",-50.46
32.835657,"2021-07-12 19:18:18.318050",-51.7
33.379954,"2021-07-12 19:18:18.862347",-51.747
33.921303,"2021-07-12 19:18:19.403696",-51.857
34.468339,"2021-07-12 19:18:19.950732",-52.96
35.01209,"2021-07-12 19:18:20.494483",-52.965
35.555169,"2021-07-12 19:18:21.037562",-52.967
36.09838,"2021-07-12 19:18:21.580773",-52.968
36.641478,"2021-07-12 19:18:22.123871",-52.969
37.186144,"2021-07-12 19:18:22.668537",-52.97
37.729219,"2021-07-12 19:18:23.211612",-52.97
38.269722,"2021-07-12 19:18:23.752115",-52.973
38.799709,"2021-07-12 19:18:24.282102",-52.976
